# TIME,X,Y,WIDTH,HEIGHT,LENGHT,CX,ANGLE,TRAVELED DISTANCE,RELATIVE VELOCITY,TOTAL RELATIVE VELOCITY
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.641543516850725268e+02
4.400000000000000157e-04,3.960000000000000000e+02,2.360000000000000000e+02,1.000000000000000000e+02,1.200000000000000000e+02,5.400000000000000000e+01,4.455327051433058614e+02,1.481629512117339331e+01,2.105416354356282227e+01,2.801769532380760097e+02,nan
4.600000000000000139e-04,3.790000000000000000e+02,2.370000000000000000e+02,1.000000000000000000e+02,1.200000000000000000e+02,5.400000000000000000e+01,4.244520082226438831e+02,1.515120413229071694e+01,2.108069692066197831e+01,2.805300444800708419e+02,nan
4.800000000000000122e-04,3.780000000000000000e+02,2.370000000000000000e+02,1.000000000000000000e+02,1.200000000000000000e+02,5.400000000000000000e+01,4.244970856962822836e+02,1.497943792040159572e+01,4.507747363840053367e-02,nan,nan
5.000000000000000104e-04,3.610000000000000000e+02,2.370000000000000000e+02,1.000000000000000000e+02,1.200000000000000000e+02,5.400000000000000000e+01,4.037702650190409486e+02,1.028148724126481461e+01,2.072682067724133503e+01,2.758208586936211759e+02,nan
5.199999999999999544e-04,3.350000000000000000e+02,2.390000000000000000e+02,1.000000000000000000e+02,1.200000000000000000e+02,5.400000000000000000e+01,3.829207491680210751e+02,1.113187120167549260e+01,2.084951585101987348e+01,2.774536169789437281e+02,nan
5.400000000000000069e-04,3.350000000000000000e+02,2.390000000000000000e+02,1.000000000000000000e+02,1.200000000000000000e+02,5.400000000000000000e+01,3.829325590398760824e+02,1.115521608483602733e+01,1.180987185500725900e-02,nan,nan
5.599999999999999509e-04,3.220000000000000000e+02,2.390000000000000000e+02,1.000000000000000000e+02,1.200000000000000000e+02,5.300000000000000000e+01,3.621267738883632887e+02,1.602501130434465892e+01,2.080578515151279362e+01,2.768716734538298851e+02,nan
5.800000000000000034e-04,2.970000000000000000e+02,2.410000000000000000e+02,1.000000000000000000e+02,1.200000000000000000e+02,5.300000000000000000e+01,3.413457605788894398e+02,1.695440794355938507e+01,2.078101330947384895e+01,2.765420237285294434e+02,nan
5.999999999999999474e-04,2.980000000000000000e+02,2.410000000000000000e+02,1.000000000000000000e+02,1.200000000000000000e+02,5.300000000000000000e+01,3.413018316753513091e+02,1.683707535665783439e+01,4.392890353813072579e-02,nan,nan
6.199999999999999999e-04,2.730000000000000000e+02,2.400000000000000000e+02,1.000000000000000000e+02,1.200000000000000000e+02,5.400000000000000000e+01,3.204911988582302342e+02,1.368295689191977438e+01,2.081063281712107482e+01,2.769361834581164885e+02,nan
6.400000000000000524e-04,2.530000000000000000e+02,2.380000000000000000e+02,1.000000000000000000e+02,1.200000000000000000e+02,5.400000000000000000e+01,2.999030998485935129e+02,6.311626297409011599e+00,2.058809900963672135e+01,2.739748288526756141e+02,nan
